[31/08/19, 10:48:37 PM] Mr. Buddy: ‎Messages to this chat and calls are now secured with end-to-end encryption.
[29/09/19, 9:30:07 PM] Mr. Buddy: What
[29/09/19, 9:30:13 PM] $h@lin!: Tell about about me
[29/09/19, 9:31:30 PM] $h@lin!: 😂😂
[29/09/19, 9:31:54 PM] $h@lin!: That much u have to think to tell about me
[29/09/19, 9:32:05 PM] $h@lin!: Am I that great person 😎
[29/09/19, 9:32:58 PM] Mr. Buddy: Ntg abt u
[29/09/19, 9:33:49 PM] $h@lin!: 🤨
[29/09/19, 9:34:06 PM] $h@lin!: Am ur bestie
[29/09/19, 9:34:48 PM] $h@lin!: U should have that much content where u can publish it in book🤨
[29/09/19, 9:37:23 PM] Mr. Buddy: U r not
[29/09/19, 9:37:31 PM] Mr. Buddy: U r my enemy
[29/09/19, 9:39:04 PM] $h@lin!: Hate you
[29/09/19, 9:39:12 PM] Mr. Buddy: Me too
[29/09/19, 9:39:13 PM] $h@lin!: What u feel about me
[29/09/19, 9:39:21 PM] $h@lin!: More than u do
[29/09/19, 9:39:26 PM] Mr. Buddy: Enemity I feel
[29/09/19, 9:39:35 PM] $h@lin!: (Hate)9
[29/09/19, 9:39:49 PM] Mr. Buddy: What's that
[29/09/19, 9:39:49 PM] $h@lin!: I ll break that glass
[29/09/19, 9:39:55 PM] $h@lin!: Hate power 9
[29/09/19, 9:40:04 PM] $h@lin!: (Hate)^9
[29/09/19, 9:40:09 PM] Mr. Buddy: O
[29/09/19, 9:40:19 PM] $h@lin!: Make it infinite
[29/09/19, 9:40:51 PM] $h@lin!: Tomorrow is the last we sit together 😒
[29/09/19, 9:42:19 PM] Mr. Buddy: Yess
[29/09/19, 9:42:50 PM] $h@lin!: U are so happy right
[29/09/19, 9:43:01 PM] Mr. Buddy: Haha no man
[29/09/19, 9:43:07 PM] $h@lin!: Then
[29/09/19, 9:44:07 PM] $h@lin!: I ll not be there to trouble u nor to hit u & u dnt have to see this ugly face
[29/09/19, 9:44:26 PM] Mr. Buddy: You will get new friends
[29/09/19, 9:44:40 PM] $h@lin!: U?
[29/09/19, 9:45:07 PM] $h@lin!: But not like u
[29/09/19, 9:45:44 PM] $h@lin!: I don’t want any groups.. just one person who understands and know the real me
[29/09/19, 9:46:03 PM] Mr. Buddy: U can sit next to your crush
[29/09/19, 9:46:17 PM] $h@lin!: He is in Odigo
[29/09/19, 9:46:41 PM] $h@lin!: He is my crush and it is for fun... dnt say it in serious way
[29/09/19, 9:46:46 PM] $h@lin!: I dnt have any crush
[29/09/19, 9:46:54 PM] Mr. Buddy: Lie
[29/09/19, 9:46:58 PM] $h@lin!: Truth
[29/09/19, 9:47:06 PM] $h@lin!: I say stuffs just for fun
[29/09/19, 9:47:29 PM] $h@lin!: Sometimes I loose the arguments for fun😜
[29/09/19, 9:47:45 PM] Mr. Buddy: Loe
[29/09/19, 9:47:46 PM] $h@lin!: May be not in real
[29/09/19, 9:47:48 PM] Mr. Buddy: Lie
[29/09/19, 9:47:57 PM] $h@lin!: That crush one is for fun
[29/09/19, 9:48:10 PM] $h@lin!: U have not seen my insider
[29/09/19, 9:48:23 PM] Mr. Buddy: Insider is a movie
[29/09/19, 9:48:30 PM] $h@lin!: Shalini insider
[29/09/19, 9:48:45 PM] $h@lin!: U have not met that person
[29/09/19, 9:49:20 PM] $h@lin!: No one can... secured with high security
[29/09/19, 9:51:26 PM] $h@lin!: One thing I learnt in life.. we shouldn’t give a name called “love” just because u get so close with ur friend... friendship is pure we shouldn’t give name and make it as love .. both are different
[29/09/19, 9:52:27 PM] $h@lin!: May be that was just attraction and attachment that’s why it could stay for long time
[29/09/19, 9:52:34 PM] Mr. Buddy: Which
[29/09/19, 9:52:47 PM] $h@lin!: Girlfriend
[29/09/19, 9:52:51 PM] $h@lin!: And boyfriends
[29/09/19, 9:52:52 PM] Mr. Buddy: Who
[29/09/19, 9:53:07 PM] $h@lin!: Do u think u really loved someone
[29/09/19, 9:53:25 PM] $h@lin!: It’s just an attraction and the attachment
[29/09/19, 9:53:50 PM] Mr. Buddy: May be
[29/09/19, 9:53:56 PM] $h@lin!: If it’s love then u would never feel that person is boring and u cnt go away from that soul
[29/09/19, 9:54:21 PM] $h@lin!: U ll have that excitement to see that person
[29/09/19, 9:54:30 PM] $h@lin!: Have u felt with anyone?
[29/09/19, 9:54:45 PM] $h@lin!: I mean both sides
[29/09/19, 9:54:53 PM] $h@lin!: U and that person
[29/09/19, 9:55:16 PM] Mr. Buddy: Yes when I see Anushka Sharma
[29/09/19, 9:55:20 PM] Mr. Buddy: Samantha
[29/09/19, 9:55:24 PM] $h@lin!: 🤨🤨🤨🤨🤨
[29/09/19, 9:55:28 PM] $h@lin!: I ll kill you
[29/09/19, 9:55:37 PM] $h@lin!: They also?
[29/09/19, 9:55:58 PM] $h@lin!: Both are married 🤣
[29/09/19, 9:56:21 PM] $h@lin!: U like committed girls?🤣
[29/09/19, 9:56:34 PM] $h@lin!: They are sold out
[29/09/19, 9:56:41 PM] Mr. Buddy: Oo
[29/09/19, 9:57:20 PM] $h@lin!: That still they are beautiful
[29/09/19, 9:57:28 PM] $h@lin!: Find one
[29/09/19, 9:57:39 PM] $h@lin!: Get new girlfriend man
[29/09/19, 9:58:01 PM] Mr. Buddy: Haa
[29/09/19, 9:58:09 PM] $h@lin!: Need any help
[29/09/19, 9:58:25 PM] $h@lin!: Dnt forget ur enemy is always with u to help
[29/09/19, 9:58:41 PM] $h@lin!: ‎You deleted this message.
[29/09/19, 10:33:56 PM] $h@lin!: Man
[29/09/19, 10:34:30 PM] $h@lin!: Do u feel I’m boring?
[29/09/19, 10:34:38 PM] Mr. Buddy: No
[29/09/19, 10:34:55 PM] $h@lin!: Not bored of me still?
[29/09/19, 10:35:01 PM] Mr. Buddy: Ha
[29/09/19, 10:36:40 PM] $h@lin!: I also deserved to be loved right
[29/09/19, 10:37:00 PM] $h@lin!: I’m not that bad person!?
[29/09/19, 10:37:15 PM] Mr. Buddy: Who said you are based
[29/09/19, 10:37:18 PM] Mr. Buddy: Bad
[29/09/19, 10:37:40 PM] $h@lin!: Why no one likes me
[29/09/19, 10:37:43 PM] Mr. Buddy: MacBook Air 30k off man
[29/09/19, 10:38:49 PM] $h@lin!: Why u make me smile though I’m not in right mood.. love u man🤗
[29/09/19, 10:38:55 PM] Mr. Buddy: Y
[29/09/19, 10:38:58 PM] $h@lin!: Then buy one for me
[29/09/19, 10:39:47 PM] Mr. Buddy: Actually o wanted to buy many, but no miney
[29/09/19, 10:40:04 PM] $h@lin!: That kid in u make me smile 🤣 funny kid.. I’m saying something serious and u are talking about mac😂
[29/09/19, 10:40:22 PM] $h@lin!: Prioritise
[29/09/19, 10:40:35 PM] $h@lin!: What u doing with ur savings
[29/09/19, 10:40:49 PM] Mr. Buddy: No savings
[29/09/19, 10:40:58 PM] $h@lin!: Then
[29/09/19, 10:41:18 PM] $h@lin!: Everything going in Shopping in filpcart
[29/09/19, 10:41:31 PM] $h@lin!: **in
[29/09/19, 10:43:14 PM] $h@lin!: For pro no offers!
[29/09/19, 10:43:19 PM] $h@lin!: Only 6%
[29/09/19, 10:43:26 PM] Mr. Buddy: For air
[29/09/19, 10:43:33 PM] $h@lin!: I don’t like air
[29/09/19, 10:43:54 PM] $h@lin!: U are apple hater right🧐
[29/09/19, 10:44:04 PM] $h@lin!: Always checking apple products
[29/09/19, 10:44:20 PM] $h@lin!: U have light crush on it😜 don’t hide
[29/09/19, 10:58:55 PM] Mr. Buddy: No I like laptops
[29/09/19, 10:58:56 PM] Mr. Buddy: Phones only I don't like
[29/09/19, 10:59:02 PM] Mr. Buddy: Tablets
[29/09/19, 10:59:07 PM] Mr. Buddy: Laptop I like
[29/09/19, 11:00:08 PM] $h@lin!: U criticise my baby 😡
[29/09/19, 11:00:27 PM] $h@lin!: That is also a laptop
[29/09/19, 11:00:28 PM] Mr. Buddy: I like pro models
[29/09/19, 11:00:36 PM] $h@lin!: It is pro
[29/09/19, 11:00:55 PM] Mr. Buddy: That's is old one I like the new version
[29/09/19, 11:01:26 PM] $h@lin!: 🤨so polished
[29/09/19, 11:02:06 PM] Mr. Buddy: No coz it is good for designing
[29/09/19, 11:04:13 PM] $h@lin!: U do testing 🤔
[29/09/19, 11:10:57 PM] $h@lin!: I’m eating chicken 😜 from kfc
[29/09/19, 11:11:14 PM] Mr. Buddy: I stopped chicken
[29/09/19, 11:11:20 PM] $h@lin!: Asked my roommate to buy one
[29/09/19, 11:11:28 PM] $h@lin!: 😒😵
[29/09/19, 11:11:34 PM] $h@lin!: Why
[29/09/19, 11:11:56 PM] Mr. Buddy: Otherwise like Vinay for me also one day will coem
[29/09/19, 11:12:07 PM] $h@lin!: 😰
[29/09/19, 11:12:27 PM] $h@lin!: That is because of gastric and cholesterol
[29/09/19, 11:12:42 PM] $h@lin!: U should eat three types a day
[29/09/19, 11:12:46 PM] $h@lin!: And do excerise
[29/09/19, 11:12:49 PM] Mr. Buddy: Whatever ot is better to prevent
[29/09/19, 11:12:57 PM] $h@lin!: It is not from chicken
[29/09/19, 11:13:09 PM] $h@lin!: True
[29/09/19, 11:13:18 PM] $h@lin!: Do excerise everyday
[29/09/19, 11:13:20 PM] Mr. Buddy: No it's bcz of masala
[29/09/19, 11:13:48 PM] $h@lin!: Ur body ll have that much energy to digest and burn cholesterol
[29/09/19, 11:14:00 PM] $h@lin!: U just have to keep ur body active
[29/09/19, 11:14:14 PM] $h@lin!: Whatever u eat.. Do excerise
[29/09/19, 11:22:37 PM] $h@lin!: Eat fruits and fibers for good digestion
[29/09/19, 11:23:00 PM] Mr. Buddy: Ha
[29/09/19, 11:23:05 PM] Mr. Buddy: Yes
[29/09/19, 11:23:24 PM] $h@lin!: Dnt stop eating
[29/09/19, 11:26:43 PM] $h@lin!: Cut some fruits and bring to office
[29/09/19, 11:26:54 PM] $h@lin!: Dry guitar too
[29/09/19, 11:26:57 PM] $h@lin!: Fruits*
[29/09/19, 11:56:42 PM] $h@lin!: Good night take care of ur health
[30/09/19, 7:10:56 PM] $h@lin!: They have pasted who ll sit where?
‎[30/09/19, 7:16:30 PM] $h@lin!: ‎image omitted
‎[30/09/19, 7:16:30 PM] $h@lin!: ‎image omitted
‎[30/09/19, 7:16:30 PM] $h@lin!: ‎image omitted
‎[30/09/19, 7:16:30 PM] $h@lin!: ‎image omitted
‎[30/09/19, 7:16:30 PM] $h@lin!: ‎image omitted
‎[30/09/19, 7:16:30 PM] $h@lin!: ‎image omitted
‎[30/09/19, 7:16:30 PM] $h@lin!: ‎GIF omitted
‎[30/09/19, 7:16:30 PM] $h@lin!: ‎GIF omitted
[30/09/19, 7:18:54 PM] Mr. Buddy: Hey
[30/09/19, 7:19:21 PM] $h@lin!: Hey
[30/09/19, 7:19:31 PM] $h@lin!: Where are you
[30/09/19, 7:19:49 PM] Mr. Buddy: Odigo team is near to ajay
[30/09/19, 7:19:58 PM] $h@lin!: 😱😰
[30/09/19, 7:20:08 PM] $h@lin!: They have stocked our names?
[30/09/19, 7:20:17 PM] $h@lin!: Sticked *
[30/09/19, 7:20:21 PM] Mr. Buddy: No but they have a list
[30/09/19, 7:20:28 PM] $h@lin!: Where I do sit
[30/09/19, 7:20:30 PM] Mr. Buddy: Each people sitting position
[30/09/19, 7:20:39 PM] Mr. Buddy: Odigo only I guess
[30/09/19, 7:20:44 PM] $h@lin!: U?
[30/09/19, 7:21:07 PM] $h@lin!: I mean with whom
[30/09/19, 7:21:08 PM] Mr. Buddy: Me in testing team
[30/09/19, 7:21:18 PM] $h@lin!: Did u check
[30/09/19, 7:21:19 PM] Mr. Buddy: Swetha
[30/09/19, 7:21:30 PM] Mr. Buddy: No list is with Satish
[30/09/19, 7:21:31 PM] $h@lin!: Me?
[30/09/19, 7:21:32 PM] Mr. Buddy: Vinay
[30/09/19, 7:21:47 PM] $h@lin!: What??
[30/09/19, 7:22:16 PM] $h@lin!: I mean did u check who is beside me?
[30/09/19, 7:22:26 PM] Mr. Buddy: No man
[30/09/19, 7:22:32 PM] Mr. Buddy: Tomorrow will know
[30/09/19, 7:22:35 PM] $h@lin!: 🥺
[30/09/19, 7:22:53 PM] $h@lin!: But
[30/09/19, 7:23:33 PM] $h@lin!: Ok leave will see... everything changes and have to accept
[30/09/19, 7:23:43 PM] $h@lin!: Where are u now
[30/09/19, 7:24:24 PM] $h@lin!: Both are silent ppl beside u😂😂😂
[30/09/19, 7:25:13 PM] Mr. Buddy: No I'm at one corner
[30/09/19, 7:25:25 PM] Mr. Buddy: Next is Swetha
[30/09/19, 7:25:31 PM] Mr. Buddy: Opposite is vinay
[30/09/19, 7:25:34 PM] $h@lin!: Which team is near u
[30/09/19, 7:25:41 PM] Mr. Buddy: Ihirong
[30/09/19, 7:25:48 PM] $h@lin!: 😱 how u know all these
[30/09/19, 7:26:06 PM] Mr. Buddy: Vinay said
[30/09/19, 7:26:12 PM] $h@lin!: Testing ll be in the middle?
[30/09/19, 7:26:17 PM] Mr. Buddy: Testing
[30/09/19, 7:26:19 PM] $h@lin!: Team*
[30/09/19, 7:26:21 PM] Mr. Buddy: Testing Vinay
[30/09/19, 7:26:50 PM] $h@lin!: Oh he is team lead also know
[30/09/19, 7:26:56 PM] Mr. Buddy: Haa
[30/09/19, 7:27:04 PM] $h@lin!: Before u
[30/09/19, 7:27:11 PM] Mr. Buddy: Yes
[30/09/19, 7:27:11 PM] $h@lin!: After ihiring
[30/09/19, 7:27:32 PM] $h@lin!: Ok leave will see tomorrow but little curious to know
[30/09/19, 7:28:02 PM] $h@lin!: Seriously u didn’t see my name 🥺😡
[30/09/19, 7:28:47 PM] $h@lin!: It’s ok but hate you
[30/09/19, 7:33:32 PM] $h@lin!: I have kidnapped ur bottle
[30/09/19, 7:35:30 PM] Mr. Buddy: No man it's not name
[30/09/19, 7:35:36 PM] Mr. Buddy: It's some numbers
[30/09/19, 7:35:48 PM] $h@lin!: Numbers?? What
[30/09/19, 7:35:51 PM] Mr. Buddy: So they  connect name with number
[30/09/19, 7:35:57 PM] Mr. Buddy: Ha
[30/09/19, 7:36:02 PM] $h@lin!: Encrypted😱
[30/09/19, 7:36:11 PM] Mr. Buddy: Bring the bottle tomorrow
[30/09/19, 7:36:16 PM] $h@lin!: No
[30/09/19, 7:36:22 PM] $h@lin!: Cancel that 100rs
[30/09/19, 7:36:28 PM] $h@lin!: I ll bring
[30/09/19, 7:36:35 PM] Mr. Buddy: Ok
‎[30/09/19, 7:36:41 PM] $h@lin!: ‎sticker omitted
[30/09/19, 7:36:56 PM] Mr. Buddy: 😂
‎[30/09/19, 7:37:02 PM] $h@lin!: ‎GIF omitted
[30/09/19, 7:37:29 PM] $h@lin!: Seriously u dnt want 100??
[30/09/19, 7:38:43 PM] $h@lin!: Ok dnt cry.. I ll keep up my promise and I’m not u to leave 😏
[30/09/19, 8:14:53 PM] Mr. Buddy: U have sent alrdy
[30/09/19, 8:15:33 PM] $h@lin!: I sent for bet
[30/09/19, 8:15:44 PM] $h@lin!: It’s my mistake and it ll be the punishment
[30/09/19, 8:16:00 PM] $h@lin!: Next time ll not do it
‎[30/09/19, 8:19:28 PM] $h@lin!: ‎GIF omitted
[30/09/19, 8:21:01 PM] $h@lin!: Ok ll not send again! Ll get something..
[30/09/19, 8:21:15 PM] $h@lin!: Lol 😂 🤣
[30/09/19, 8:21:41 PM] Mr. Buddy: 😂
[30/09/19, 8:22:04 PM] $h@lin!: 🤣🤣🤣
[30/09/19, 8:22:17 PM] $h@lin!: Ur leg never stop flipping!
[30/09/19, 8:22:24 PM] Mr. Buddy: 😂
[30/09/19, 8:22:37 PM] $h@lin!: 🦋
[30/09/19, 8:23:00 PM] $h@lin!: Dnt use ur legs as wings
[30/09/19, 10:44:40 PM] $h@lin!: Hey
[30/09/19, 10:44:48 PM] $h@lin!: U could take leave on Monday right
[30/09/19, 10:44:57 PM] $h@lin!: Tuesday is holiday
[30/09/19, 10:46:19 PM] $h@lin!: From Friday to Wednesday u could be at home
[30/09/19, 10:51:59 PM] $h@lin!: I saw now.. there is festival on Monday but no holiday.. so mom asking to take leave
[30/09/19, 11:40:36 PM] Mr. Buddy: Ohwww
[30/09/19, 11:40:46 PM] Mr. Buddy: But not leave I guess
[30/09/19, 11:53:10 PM] $h@lin!: Tuesday is holiday.. checked in the holiday list
[30/09/19, 11:54:16 PM] Mr. Buddy: Ohw they will not give man
[30/09/19, 11:54:25 PM] Mr. Buddy: And I have already applied
[30/09/19, 11:54:44 PM] $h@lin!: Tuesday they ll give
[30/09/19, 11:54:52 PM] $h@lin!: U can change date
[30/09/19, 11:55:10 PM] $h@lin!: Because u simply have to go and come
[30/09/19, 11:55:48 PM] $h@lin!: If u take leave on Monday it ll be continuous
[01/10/19, 8:47:50 AM] Mr. Buddy: Good morning
[01/10/19, 9:41:56 AM] $h@lin!: Good morning
[01/10/19, 9:55:45 AM] $h@lin!: I got up now
[01/10/19, 9:56:00 AM] $h@lin!: Still have to take bath and come.. if they start to new office
[01/10/19, 9:56:16 AM] $h@lin!: Dnt forget to take that tom and jerry with u
[01/10/19, 10:21:18 AM] Mr. Buddy: Ok
[01/10/19, 11:46:23 AM] $h@lin!: Hey
[01/10/19, 11:50:44 AM] $h@lin!: Dnt fold that sheet
[01/10/19, 12:37:27 PM] $h@lin!: I’m not liking it
[01/10/19, 12:37:40 PM] $h@lin!: They could put android ppl this side
[01/10/19, 12:37:55 PM] $h@lin!: Why they put me in Odigo 😣
[01/10/19, 2:11:04 PM] $h@lin!: I’m not liking to sit this far from u
[01/10/19, 2:11:10 PM] $h@lin!: 😣
[01/10/19, 2:11:24 PM] $h@lin!: I don’t know but not feeling good
[01/10/19, 2:16:19 PM] $h@lin!: Missing u man🥺 feels I’m loosing everyone day by day
‎[01/10/19, 3:57:41 PM] $h@lin!: ‎image omitted
[01/10/19, 3:58:46 PM] $h@lin!: I don’t know how it happened
[01/10/19, 5:04:58 PM] $h@lin!: Hey😡
[01/10/19, 5:10:49 PM] $h@lin!: My mom scolded for keeping that pic as dp
[01/10/19, 5:11:12 PM] $h@lin!: Was it odd
[01/10/19, 5:12:57 PM] Mr. Buddy: ????
[01/10/19, 5:13:09 PM] $h@lin!: My dp
[01/10/19, 5:13:24 PM] Mr. Buddy: You are odd 😂😂😂
[01/10/19, 5:13:33 PM] $h@lin!: 😫😫😫😫😫😫😫😫
[01/10/19, 5:13:37 PM] $h@lin!: I’m not
[01/10/19, 5:13:50 PM] $h@lin!: U are odd
[01/10/19, 5:13:54 PM] $h@lin!: Awkward
[01/10/19, 5:14:15 PM] Mr. Buddy: U r
[01/10/19, 5:14:25 PM] $h@lin!: U are
[01/10/19, 5:14:36 PM] $h@lin!: Seriously u are missing me?
[01/10/19, 5:16:15 PM] $h@lin!: We cnt even see each other 🥺
[01/10/19, 5:16:32 PM] $h@lin!: But I can see ur wings🤣🤣🤣🤣
[01/10/19, 5:17:11 PM] $h@lin!: Mr. odd, are you missing me🤔
[01/10/19, 5:46:26 PM] Mr. Buddy: No
[01/10/19, 5:52:25 PM] $h@lin!: Dnt lie
[01/10/19, 5:52:38 PM] $h@lin!: Gautam was saying🤔
[01/10/19, 5:52:46 PM] Mr. Buddy: No
[01/10/19, 5:52:59 PM] $h@lin!: Why u should hide with me🤨👊
[01/10/19, 5:53:14 PM] $h@lin!: I ll tell everything directly only
[01/10/19, 5:54:17 PM] $h@lin!: Hate you man
[01/10/19, 5:54:35 PM] Mr. Buddy: I'm not hiding
[01/10/19, 5:54:59 PM] $h@lin!: At least once
[01/10/19, 5:55:10 PM] $h@lin!: U didn’t missed me🥺
[01/10/19, 6:00:34 PM] $h@lin!: U know wt happened
[01/10/19, 6:00:54 PM] $h@lin!: I have cloned Odigo from master and worked on it
[01/10/19, 6:01:12 PM] $h@lin!: But now they said they haven’t updated master from past one year
[01/10/19, 6:02:03 PM] $h@lin!: 😩 so have to clone development and check line by line and do the changes
‎[01/10/19, 6:12:05 PM] $h@lin!: ‎image omitted
[01/10/19, 6:19:04 PM] Mr. Buddy: Copy code from some one na
[01/10/19, 6:45:49 PM] $h@lin!: No there is conflicts
[01/10/19, 6:46:02 PM] $h@lin!: From master to development and the changes I have done
[01/10/19, 7:04:42 PM] $h@lin!: Hate you
[01/10/19, 8:29:43 PM] $h@lin!: There?!
[01/10/19, 9:19:41 PM] $h@lin!: Please reply else I feel even more sad
[01/10/19, 9:21:47 PM] $h@lin!: I’m sorry for troubling but I’m little high on emotions.. I want to someone 🤧 now u are only person I share😔
[01/10/19, 9:22:14 PM] $h@lin!: Talk*
[01/10/19, 9:23:00 PM] Mr. Buddy: Heyy
[01/10/19, 9:23:24 PM] Mr. Buddy: Wait I'm playing a game
[01/10/19, 9:23:25 PM] Mr. Buddy: After finishing it I'll come
[01/10/19, 9:23:52 PM] $h@lin!: Hate you gamer
[01/10/19, 9:42:04 PM] Mr. Buddy: Why sad
[01/10/19, 10:01:05 PM] $h@lin!: I don’t know
[01/10/19, 10:01:51 PM] $h@lin!: I’m not feeling that comfortable to talk with anyone like u🤨
[01/10/19, 10:02:59 PM] $h@lin!: Sri is like elder brother... and his talks ll be like high level which I don’t like😕 like listening to professors
[01/10/19, 10:03:41 PM] $h@lin!: With u I can talk any shits without thinking but those ppl ll judge me with wt I talk🤧
[01/10/19, 10:04:10 PM] $h@lin!: They dnt know the real me
[01/10/19, 10:04:18 PM] $h@lin!: I just dnt know anything now
[01/10/19, 10:06:51 PM] $h@lin!: See we dnt talk outside also and may be we dnt meet.. may be I loose my friend🥺
[01/10/19, 10:07:21 PM] Mr. Buddy: Arae whatever now we have to sit in that place only
[01/10/19, 10:07:45 PM] $h@lin!: Didn’t u feel anything
[01/10/19, 10:08:23 PM] $h@lin!: I know that we ll sit in two different place but I’m thinking wtif we become strangers again🥺
[01/10/19, 10:09:07 PM] $h@lin!: Because I don’t want to loose boy version of me
[01/10/19, 10:10:27 PM] $h@lin!: It’s good that we ll work properly but after work.. I mean in tea and lunch breaks we can meet but u act like I’m not ur friend 😔
[01/10/19, 10:11:34 PM] $h@lin!: Hang on do u have something in mind like ppl think bad about us???
[01/10/19, 10:12:34 PM] $h@lin!: We are not kids and everyone knows we are best friends 😡 See sank and Pavithra and Preethi and Sandip
[01/10/19, 10:14:13 PM] Mr. Buddy: Ok
[01/10/19, 10:14:20 PM] Mr. Buddy: I didn't say anything noe
[01/10/19, 10:14:36 PM] $h@lin!: I’m asking wt is in ur mind
[01/10/19, 10:14:46 PM] Mr. Buddy: Nothing
[01/10/19, 10:14:55 PM] $h@lin!: Am not ur friend?
[01/10/19, 10:15:05 PM] Mr. Buddy: U r
[01/10/19, 10:15:06 PM] $h@lin!: U dnt like to be with me
[01/10/19, 10:15:42 PM] $h@lin!: Then why u dnt call me for tea and now I dnt know when u are leaving 😒
[01/10/19, 10:16:08 PM] $h@lin!: Whatever it is say it directly 👊
[01/10/19, 10:17:30 PM] Mr. Buddy: Ok
[01/10/19, 10:17:42 PM] $h@lin!: Say
[01/10/19, 10:18:39 PM] Mr. Buddy: Arae u where in different place.....
[01/10/19, 10:19:28 PM] $h@lin!: He can text no
[01/10/19, 10:19:44 PM] $h@lin!: Though I was sitting u .. u were not calling me
[01/10/19, 10:20:09 PM] $h@lin!: I know u like Vinay and Gautam
[01/10/19, 10:20:28 PM] $h@lin!: And u dnt like me
[01/10/19, 10:20:39 PM] $h@lin!: I also dnt like u
[01/10/19, 10:23:18 PM] Mr. Buddy: It's not liek that
[01/10/19, 10:24:05 PM] $h@lin!: Then
[01/10/19, 10:24:59 PM] $h@lin!: Once u said u like me more than anyone in our office but now? 🥺
[01/10/19, 10:25:44 PM] Mr. Buddy: I didn't say any now
[01/10/19, 10:26:02 PM] $h@lin!: Say now then
[01/10/19, 10:27:44 PM] Mr. Buddy: Say what
[01/10/19, 10:28:04 PM] $h@lin!: Whom u like in our office
[01/10/19, 10:57:47 PM] $h@lin!: Why the fuck anyone like me.. I don’t want anything.. ll stay away from everything. I’m sorry for distrubing.. forgive me the non sense talks
[01/10/19, 11:03:36 PM] Mr. Buddy: 🤔🤔🤔🤔🤔
[01/10/19, 11:03:50 PM] $h@lin!: What
[01/10/19, 11:04:10 PM] Mr. Buddy: Nothing
[01/10/19, 11:04:21 PM] $h@lin!: Say
[01/10/19, 11:04:28 PM] $h@lin!: Enough of thinking
[01/10/19, 11:04:37 PM] $h@lin!: Answer
[01/10/19, 11:04:45 PM] Mr. Buddy: Nothing
[01/10/19, 11:05:02 PM] $h@lin!: Means
[01/10/19, 11:05:09 PM] $h@lin!: Stop being diplomatic
[01/10/19, 11:05:23 PM] $h@lin!: Say genuinely
[01/10/19, 11:05:33 PM] Mr. Buddy: See I like everyone
[01/10/19, 11:05:42 PM] Mr. Buddy: Everyone is friendly
[01/10/19, 11:05:58 PM] $h@lin!: I know
[01/10/19, 11:06:12 PM] $h@lin!: 😡
[01/10/19, 11:06:27 PM] $h@lin!: But not everyone are ur best friend
[01/10/19, 11:07:07 PM] Mr. Buddy: Ur best fry
[01/10/19, 11:07:11 PM] Mr. Buddy: Friend
[01/10/19, 11:07:42 PM] $h@lin!: My best friend?
[01/10/19, 11:09:24 PM] $h@lin!: I’m sorry
[01/10/19, 11:09:38 PM] $h@lin!: I’m acting too weird
[01/10/19, 11:09:47 PM] $h@lin!: Ignore
[01/10/19, 11:25:20 PM] Mr. Buddy: Dinner?
[01/10/19, 11:25:45 PM] $h@lin!: Didn’t have
[01/10/19, 11:25:55 PM] Mr. Buddy: Y
[01/10/19, 11:27:43 PM] $h@lin!: Not feeling to have
[01/10/19, 11:27:47 PM] $h@lin!: U had?
[02/10/19, 12:20:27 AM] $h@lin!: 🤐sorry man.. will try not to text and disturb. Good night take care
[02/10/19, 12:30:41 AM] $h@lin!: Do u know about this brand?

Syska SoundPro Headset Bluetooth Headset with Mic
https://dl.flipkart.com/dl/syska-soundpro-headset-bluetooth-mic/p/itmfbuz9j78rg8dq?pid=ACCFBSYHZWAGCPGV&cmpid=product.share.pp
[02/10/19, 12:34:47 AM] $h@lin!: Buy me this👻
Bose Noise Cancelling 700 Bluetooth Headset with Mic
https://dl.flipkart.com/dl/bose-noise-cancelling-700-bluetooth-headset-mic/p/itmfgyzeeujtzgrp?pid=ACCFGYZEVVGYM8FP&cmpid=product.share.pp
[02/10/19, 2:54:43 AM] $h@lin!: Hey still not sleeping?!
[02/10/19, 11:04:09 AM] Mr. Buddy: Good morning
[02/10/19, 1:29:02 PM] $h@lin!: Good morning
[02/10/19, 1:48:36 PM] $h@lin!: How is skull candy?
[02/10/19, 2:13:41 PM] $h@lin!: Check ur normal messages
